theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
3.541644319312122202e-01,2.282391157236617059e+06,7.952386192921079555e+01,1.484333026284805623e-01
3.619711807169814222e-01,2.196392182683160994e+06,7.993838637095691979e+01,1.517606854659777904e-01
3.699500115107371423e-01,2.112532782650541980e+06,8.031322152923354452e+01,1.551045364817167926e-01
3.781047174686682499e-01,2.030848572692175629e+06,8.064904575377480000e+01,1.584632131154326551e-01
3.864391753584583977e-01,1.951368417421942344e+06,8.094668434162809945e+01,1.618351040293401211e-01
3.949573474023107544e-01,1.874114545258603757e+06,8.120710444694576324e+01,1.652186355143064056e-01
4.036632831605985183e-01,1.799102700530567905e+06,8.143140930650309883e+01,1.686122768580950171e-01
4.125611214570361063e-01,1.726342329903006321e+06,8.162083185630147852e+01,1.720145463284860898e-01
4.216550923462863976e-01,1.655836799857201055e+06,8.177672781756351128e+01,1.754240160578985075e-01
4.309495191249390622e-01,1.587583641780280042e+06,8.190056833203584574e+01,1.788393173098721811e-01
4.404488203868169860e-01,1.521574821111130994e+06,8.199393222682195415e+01,1.822591449482383330e-01
4.501575121235866228e-01,1.457797026933505200e+06,8.205849798805644468e+01,1.856822618385090828e-01
4.600802098716717525e-01,1.396231978406581096e+06,8.209603552068068666e+01,1.891075028790948631e-01
4.702216309064913280e-01,1.336856744473015424e+06,8.210839776851034344e+01,1.925337784758136828e-01
4.805865964850637440e-01,1.279644073379663518e+06,8.209751226480949526e+01,1.959600781231792821e-01
4.911800341380447299e-01,1.224562728681685636e+06,8.206537267883793163e+01,1.993854729188089259e-01
5.020069800122877179e-01,1.171577828570989892e+06,8.201403041845379960e+01,2.028091186763816001e-01
5.130725812650408502e-01,1.120651185569100082e+06,8.194558634296852517e+01,2.062302576012060018e-01
5.243820985109179933e-01,1.071741643846749794e+06,8.186218263419596042e+01,2.096482206930010694e-01
5.359409083228087178e-01,1.024805411672131158e+06,8.176599486715213061e+01,2.130624288936809052e-01
5.477545057879142920e-01,9.797963867412067484e+05,8.165922431525659420e+01,2.164723946078914441e-01
5.598285071201258845e-01,9.366664724017231492e+05,8.154409051828545785e+01,2.198777224618581050e-01
5.721686523299867044e-01,8.953658830427831272e+05,8.142282413482583081e+01,2.232781099405729830e-01
5.847808079535076198e-01,8.558434371797618223e+05,8.129766009467783761e+01,2.266733478162911153e-01
5.976709698411329930e-01,8.180468370162530337e+05,8.117083106062011666e+01,2.300633199467679579e-01
6.108452660081828967e-01,7.819229335073493421e+05,8.104456120326895530e+01,2.334480034256037062e-01
6.243099595481271802e-01,7.474179761792009231e+05,8.092106028747164714e+01,2.368274675964716081e-01
6.380714516100759459e-01,7.144778471763558919e+05,8.080251806382952395e+01,2.402018739363964983e-01
6.521362844419015259e-01,6.830482792091330048e+05,8.069109895457688708e+01,2.435714745100783507e-01
6.665111445004396895e-01,6.530750572570939548e+05,8.058893701917283181e+01,2.469366113031371268e-01
6.812028656302483443e-01,6.245042040508110076e+05,8.049813118160844283e+01,2.502977144929791065e-01
6.962184323124337437e-01,5.972821495022455929e+05,8.042074069860218799e+01,2.536553011153354631e-01
7.115649829850910768e-01,5.713558843841433991e+05,8.035878084554836676e+01,2.570099732220147426e-01
7.272498134369351774e-01,5.466730986712612212e+05,8.031421879529568741e+01,2.603624159250523262e-01
7.432803802757372846e-01,5.231823050515071955e+05,8.028896966355647180e+01,2.637133954678995695e-01
7.596643044732148686e-01,5.008329481939874822e+05,8.028489269396837358e+01,2.670637566863064416e-01
7.764093749880607298e-01,4.795755004244304146e+05,8.030378755553662984e+01,2.704144210002933923e-01
7.935235524688335484e-01,4.593615445075695170e+05,8.034739072535950299e+01,2.737663833629939703e-01
8.110149730384701439e-01,4.401438442719361628e+05,8.041737193016521701e+01,2.771207100785550437e-01
8.288919521622192255e-01,4.218764038363404688e+05,8.051533062124899232e+01,2.804785354498203209e-01
8.471629886008333887e-01,4.045145162102983450e+05,8.064279245887514946e+01,2.838410591624362378e-01
8.658367684509022943e-01,3.880148020440098480e+05,8.080120578408451593e+01,2.872095428648340221e-01
8.849221692742443857e-01,3.723352392983841128e+05,8.099193805810605795e+01,2.905853070152253359e-01
9.044282643183219061e-01,3.574351845931682037e+05,8.121627225219252466e+01,2.939697273991517812e-01
9.243643268296860560e-01,3.432753869725544937e+05,8.147540317367069918e+01,2.973642314477337734e-01
9.447398344625010935e-01,3.298179948037453578e+05,8.177043371729705257e+01,3.007702946676411582e-01
9.655644737842452585e-01,3.170265564957428724e+05,8.210237103461835773e+01,3.041894364354270630e-01
9.868481448807293610e-01,3.048660156940346933e+05,8.247212261794179256e+01,3.076232162981738516e-01
1.008600966062622062e+00,2.933027015725908568e+05,8.288049229968731879e+01,3.110732293074277566e-01
1.030833278675720166e+00,2.823043148084218847e+05,8.332817617231243901e+01,3.145411020272891878e-01
1.053555652017250877e+00,2.718399097864894429e+05,8.381575843862960085e+01,3.180284875884958895e-01
1.076778888360542030e+00,2.618798735445711936e+05,8.434370720715020298e+01,3.215370612039600839e-01
1.100514028090449292e+00,2.523959019292501034e+05,8.491237025205053612e+01,3.250685150635571063e-01
1.124772354951983910e+00,2.433609733959494333e+05,8.552197076241657214e+01,3.286245532998516294e-01
1.149565401414632815e+00,2.347493208482330956e+05,8.617260311054016597e+01,3.322068867164865713e-01
1.174904954154923242e+00,2.265364018747394439e+05,8.686422867415231508e+01,3.358172272213471587e-01
