theta_arcmin,THIBOS_ONLY,THIBOS_PLUS_ARIAS,CIE_RAW
1.534689858142814245e+01,3.798888145490315082e+01,6.504637732244515291e+02,9.192966258094189698e+02
1.579998157443704265e+01,3.455680081811109972e+01,5.917883189999942033e+02,8.464758545735597863e+02
1.626644083350156933e+01,3.161917759267241834e+01,5.658938352826776281e+02,7.793515660149831774e+02
1.674667126307929621e+01,2.929448724198946152e+01,5.292374874186607485e+02,7.174899845194688623e+02
1.724107942630220336e+01,2.425659865441213014e+01,4.939411994606280132e+02,6.604887233685849424e+02
1.775008388917304814e+01,2.620571968617474923e+01,4.608264338874499231e+02,6.079747287060797589e+02
1.827411557492340677e+01,2.156550503038893396e+01,4.311964984592859196e+02,5.596023301445187599e+02
1.881361812883331552e+01,1.707490896574597983e+01,3.931866865550674675e+02,5.150513963064594236e+02
1.936904829382141813e+01,1.766054697569497023e+01,3.693386946568883218e+02,4.740255929924496172e+02
1.994087629712355891e+01,1.720066380470762368e+01,3.385718008753324852e+02,4.362507411846677883e+02
2.052958624838722557e+01,1.593976433372445811e+01,3.221226158643540884e+02,4.014732717153868293e+02
2.113567654951883057e+01,1.437835905557461480e+01,2.926425703813259247e+02,3.694587731402809823e+02
2.175966031663074318e+01,1.268960873440883397e+01,2.735133487441171951e+02,3.399906291457475618e+02
2.240206581444557088e+01,1.127192325978892207e+01,2.520493922800858968e+02,3.128687416758681934e+02
2.306343690352504439e+01,1.052133591258619560e+01,2.361594000871859862e+02,2.879083358786774625e+02
2.374433350070244231e+01,1.032471305144501272e+01,2.136116900087389467e+02,2.649388429340332323e+02
2.444533205310824187e+01,8.605948369285773225e+00,2.010544786811485380e+02,2.438028568290221472e+02
2.516702602619032447e+01,7.279334725432786257e+00,1.811779388424803017e+02,2.243551611843816431e+02
2.591002640614188834e+01,8.194052826014729618e+00,1.728140612093080790e+02,2.064618223009202325e+02
2.667496221716240612e+01,5.877706645086131942e+00,1.581501988977284157e+02,1.899993446829626862e+02
2.746248105398960249e+01,6.536896989786738388e+00,1.472037721177034939e+02,1.748538854018511017e+02
2.827324963015321302e+01,5.388616103298325299e+00,1.369452795273835761e+02,1.609205237824202470e+02
