theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
2.444731007373067144e-01,5.094169330851485021e+06,8.457325345847119991e+01,1.256521691305125255e-01
2.498619537961166703e-01,4.944816303743991069e+06,8.575272407120365870e+01,1.292062358489886875e-01
2.553695918550017430e-01,4.796540953756068833e+06,8.688884432655272860e+01,1.328086261249195876e-01
2.609986332589211977e-01,4.649509123334535398e+06,8.797941496081860180e+01,1.364574845425358396e-01
2.667517540682893262e-01,4.503883387521225028e+06,8.902238072245486933e+01,1.401508670136819290e-01
2.726316893311812595e-01,4.359821682599759661e+06,9.001583106047651484e+01,1.438867464998089818e-01
2.786412343835816818e-01,4.217475885366332717e+06,9.095799489401372284e+01,1.476630191952381654e-01
2.847832461782943692e-01,4.076992672196611296e+06,9.184728061443261993e+01,1.514775111210219238e-01
2.910606446431453498e-01,3.938511616684120148e+06,9.268225755081162731e+01,1.553279850899708381e-01
2.974764140691231740e-01,3.802164968213723041e+06,9.346166865583960259e+01,1.592121480031016834e-01
3.040336045291187617e-01,3.668078212214314379e+06,9.418446242755894104e+01,1.631276584141828079e-01
3.107353333279376795e-01,3.536367665016980842e+06,9.484974954388172819e+01,1.670721343213975585e-01
3.175847864842744617e-01,3.407141703455156647e+06,9.545684482269773241e+01,1.710431611340736402e-01
3.245852202453541890e-01,3.280500474377156235e+06,9.600527267292569888e+01,1.750382997451179756e-01
3.317399626349604169e-01,3.156534009286677465e+06,9.649472103790490962e+01,1.790550946761821638e-01
3.390524150355860300e-01,3.035324089126165025e+06,9.692509874832848027e+01,1.830910822271335225e-01
3.465260538054590889e-01,2.916943037047803402e+06,9.729650343723515959e+01,1.871437985745888211e-01
3.541644319312122202e-01,2.801453317355932668e+06,9.760920519875934076e+01,1.912107877861880523e-01
3.619711807169814222e-01,2.688908994322239887e+06,9.786369110178145547e+01,1.952896096807968107e-01
3.699500115107371423e-01,2.579354118371977471e+06,9.806060308859952102e+01,1.993778474974702009e-01
3.781047174686682499e-01,2.472823689312644303e+06,9.820075880695523551e+01,2.034731153396006631e-01
3.864391753584583977e-01,2.369344687062717974e+06,9.828518016785591271e+01,2.075730653327242936e-01
3.949573474023107544e-01,2.268934038371788803e+06,9.831499568873131523e+01,2.116753944824180389e-01
4.036632831605985183e-01,2.171601058352628257e+06,9.829151753315576912e+01,2.157778511907974817e-01
4.125611214570361063e-01,2.077347153399663279e+06,9.821621110589738635e+01,2.198782413961532511e-01
4.216550923462863976e-01,1.986165111128110439e+06,9.809063532557767928e+01,2.239744343381588065e-01
4.309495191249390622e-01,1.898041206139613176e+06,9.791651249702870530e+01,2.280643679004239199e-01
4.404488203868169860e-01,1.812954351162410341e+06,9.769565987624582704e+01,2.321460535304562811e-01
4.501575121235866228e-01,1.730876646576152416e+06,9.742998181263384083e+01,2.362175807428775753e-01
4.600802098716717525e-01,1.651774899077994749e+06,9.712151912007564647e+01,2.402771211680070906e-01
4.702216309064913280e-01,1.575609383185600163e+06,9.677234490326637228e+01,2.443229321621568084e-01
4.805865964850637440e-01,1.502335496080943616e+06,9.638461927121370820e+01,2.483533599964264094e-01
4.911800341380447299e-01,1.431904470317907864e+06,9.596059984909011575e+01,2.523668425907257817e-01
5.020069800122877179e-01,1.364262238691540435e+06,9.550252831198585568e+01,2.563619118422408860e-01
5.130725812650408502e-01,1.299351667489173822e+06,9.501273512153780132e+01,2.603371955358276812e-01
5.243820985109179933e-01,1.237112214924332220e+06,9.449358122694309259e+01,2.642914188496786609e-01
5.359409083228087178e-01,1.177479913591874531e+06,9.394741233248910817e+01,2.682234054926038169e-01
5.477545057879142920e-01,1.120388965068696765e+06,9.337663932725661198e+01,2.721320784671911741e-01
5.598285071201258845e-01,1.065771019431750057e+06,9.278364395542777743e+01,2.760164604836434776e-01
5.721686523299867044e-01,1.013555983721468598e+06,9.217080098350159290e+01,2.798756740652202368e-01
5.847808079535076198e-01,9.636730201865837444e+05,9.154052976757827764e+01,2.837089413298578555e-01
5.976709698411329930e-01,9.160495239936042344e+05,9.089516368824857295e+01,2.875155835006129590e-01
6.108452660081828967e-01,8.706126507914575050e+05,9.023705180882166133e+01,2.912950201605541967e-01
6.243099595481271802e-01,8.272894284704690799e+05,8.956854109753982129e+01,2.950467682495055421e-01
6.380714516100759459e-01,7.860062264845211757e+05,8.889188456268733773e+01,2.987704408652079313e-01
