theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
1.629440461719935396e+00,1.378181272933933360e+05,1.016437867294341970e+02,3.942768095986430299e-01
1.665357767917656551e+00,1.335218472866750672e+05,1.028643593693306713e+02,3.985438893813039174e-01
1.702066789378873235e+00,1.293626948248790286e+05,1.041021619834704808e+02,4.028622735333328708e-01
1.739584977664540455e+00,1.253325833466055192e+05,1.053544266303515684e+02,4.072326237831562223e-01
1.777930169015553119e+00,1.214240397582714068e+05,1.066182563337530382e+02,4.116554836303065734e-01
1.817120592832139003e+00,1.176301753672171908e+05,1.078906337047965849e+02,4.161312731368125850e-01
1.857174880340162426e+00,1.139446571965777985e+05,1.091684306501971520e+02,4.206602841010899096e-01
1.898112073448454451e+00,1.103616796708740294e+05,1.104484191494668437e+02,4.252426756593574719e-01
1.939951633801385800e+00,1.068759366643171379e+05,1.117272830696255994e+02,4.298784703585745159e-01
1.982713452030979928e+00,1.034825939078729280e+05,1.130016309712759295e+02,4.345675507432883999e-01
2.026417857212970297e+00,1.001772617560290237e+05,1.142680098449611563e+02,4.393096564965419115e-01
2.071085626531293578e+00,9.695596831976437534e+04,1.155229197018128389e+02,4.441043821721196161e-01
2.116737995155615337e+00,9.381513297824065376e+04,1.167628289278929827e+02,4.489511755519502434e-01
2.163396666336582896e+00,9.075154028801915410e+04,1.179841902976444317e+02,4.538493366584016586e-01
2.211083821723605514e+00,8.776231431495673314e+04,1.191834575287869598e+02,4.587980174465533523e-01
2.259822131910065313e+00,8.484489342014408612e+04,1.203571022491355649e+02,4.637962221963842779e-01
2.309634767210974715e+00,8.199700553712944384e+04,1.215016312354597261e+02,4.688428086191785971e-01
2.360545408678203394e+00,7.921664398303136113e+04,1.226136037759234370e+02,4.739364896864310950e-01
2.412578259358507893e+00,7.650204385081843066e+04,1.236896490010783509e+02,4.790758361831902179e-01
2.465758055799722293e+00,7.385165903386464925e+04,1.247264830240426363e+02,4.842592799812224236e-01
2.520110079810574888e+00,7.126413993674935773e+04,1.257209257285353061e+02,4.894851180206533092e-01
2.575660170479722400e+00,6.873831192805549654e+04,1.266699170439723758e+02,4.947515169820501657e-01
2.632434736459718927e+00,6.627315459154699056e+04,1.275705325499140343e+02,5.000565186242179605e-01
2.690460768521755863e+00,6.386778183153933787e+04,1.284199982577865171e+02,5.053980457565313555e-01
2.749765852387140441e+00,6.152142288649243710e+04,1.292157044259222687e+02,5.107739088084374268e-01
2.810378181841619138e+00,5.923340430187351740e+04,1.299552182744467927e+02,5.161818129529591737e-01
2.872326572138772516e+00,5.700313290921173757e+04,1.306362954792168978e+02,5.216193657357143243e-01
2.935640473698859942e+00,5.483007985306596674e+04,1.312568903386451211e+02,5.270840851562474949e-01
3.000349986109622780e+00,5.271376570146642189e+04,1.318151645235583658e+02,5.325734081443381784e-01
3.066485872435704252e+00,5.065374666839297424e+04,1.323094943379145150e+02,5.380846993706034365e-01
3.134079573843488564e+00,4.864960196916932910e+04,1.327384764368940751e+02,5.436152603280590689e-01
3.203163224548308374e+00,4.670092232144712034e+04,1.331009319682278829e+02,5.491623386194821599e-01
3.273769667091132263e+00,4.480729959589891223e+04,1.333959091222325810e+02,5.547231373844109248e-01
