theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
2.071085626531293578e+00,1.727468679997404688e+05,2.058276855619379546e+02,5.360297624209217071e-01
2.116737995155615337e+00,1.657251609254778596e+05,2.062624440203825316e+02,5.459994900963673903e-01
2.163396666336582896e+00,1.608558938122912077e+05,2.091254024539410636e+02,5.543349880911393468e-01
2.211083821723605514e+00,1.582512055690501875e+05,2.149091667082882395e+02,5.601273451273871551e-01
2.259822131910065313e+00,1.579880114208976738e+05,2.241145987485912201e+02,5.725335813436153165e-01
2.309634767210974715e+00,1.572768769983515667e+05,2.330499386622778104e+02,5.803396469673389735e-01
2.360545408678203394e+00,1.535317576270940772e+05,2.376404900558784163e+02,5.913106245096081404e-01
2.412578259358507893e+00,1.465300712222057919e+05,2.369120113041757634e+02,6.023837945742797073e-01
2.465758055799722293e+00,1.390703004320497275e+05,2.348728477180542882e+02,6.107351885533038871e-01
2.520110079810574888e+00,1.334809597306257638e+05,2.354809843963869582e+02,6.213832367363713027e-01
2.575660170479722400e+00,1.306303231357062759e+05,2.407235751198830371e+02,6.303060533804929477e-01
2.632434736459718927e+00,1.299026709785027488e+05,2.500522725758033005e+02,6.410537022587422529e-01
2.690460768521755863e+00,1.274702255321890116e+05,2.563064767763647183e+02,6.508988519723571953e-01
2.749765852387140441e+00,1.212492804016651498e+05,2.546643176173551524e+02,6.623351093116667254e-01
2.810378181841619138e+00,1.136887902095554164e+05,2.494276957600638411e+02,6.729845435562653577e-01
2.872326572138772516e+00,1.077903133563219162e+05,2.470272510783051985e+02,6.821364177466733292e-01
2.935640473698859942e+00,1.048353084357235784e+05,2.509636429463700722e+02,6.931927660480136089e-01
3.000349986109622780e+00,1.031800772361931886e+05,2.580103825908971658e+02,7.043460367090281782e-01
3.066485872435704252e+00,9.903204219932280830e+04,2.586754245924195743e+02,7.151149277259883918e-01
3.134079573843488564e+00,9.211709610084370070e+04,2.513377806865894399e+02,7.235631880981057140e-01
3.203163224548308374e+00,8.587702021937341488e+04,2.447555820670301614e+02,7.361552604908683239e-01
3.273769667091132263e+00,8.241359159504002309e+04,2.453536828596331532e+02,7.449595801161537079e-01
3.345932467951992617e+00,8.036273432174259506e+04,2.499116758140131935e+02,7.566604633634284038e-01
3.419685933507571995e+00,7.612807610853361257e+04,2.472946937345941194e+02,7.671362069111088422e-01
3.495065126340542339e+00,6.991268940425632172e+04,2.372269654884747183e+02,7.756406510684792366e-01
3.572105881908404612e+00,6.521700273329856282e+04,2.311569638894657999e+02,7.869247770767564543e-01
3.650844825579754982e+00,6.284194708832092147e+04,2.326665126312061318e+02,7.956277668470127518e-01
3.731319390046076823e+00,5.994468840189781622e+04,2.318318261638391675e+02,8.049987337651967056e-01
3.813567833117336381e+00,5.490779556333977962e+04,2.218168117305167186e+02,8.155503811866157138e-01
3.897629255909841994e+00,5.052156750721709250e+04,2.131941918939871812e+02,8.243625738049846774e-01
3.983543621435013282e+00,4.827934403560536884e+04,2.128129316433174836e+02,8.333366978979963591e-01
4.071351773597895018e+00,4.558553947991500172e+04,2.098948844012964230e+02,8.413295957629901567e-01
4.161095456614454235e+00,4.136165046741854167e+04,1.989347795218454849e+02,8.502194800731042168e-01
4.252817334856886511e+00,3.816169221190948156e+04,1.917249277054076515e+02,8.589854976899476968e-01
4.346561013136360785e+00,3.635011535612546868e+04,1.907633116315609811e+02,8.668141389720613876e-01
4.442371057432859871e+00,3.336319521051341144e+04,1.828920373357283040e+02,8.748141839037751888e-01
4.540293016081960786e+00,3.010123768032115186e+04,1.723652111356766170e+02,8.813135905343993937e-01
4.640373441428621071e+00,2.831931389250174834e+04,1.693893460955898433e+02,8.881924660481829159e-01
4.742659911958289065e+00,2.622247579004585350e+04,1.638381965636659174e+02,8.957626051814273627e-01
4.847201054915829310e+00,2.338584037095364693e+04,1.526274147800133392e+02,9.022118117652098146e-01
4.954046569423036672e+00,2.176666714194605811e+04,1.483916981479757169e+02,9.088079714145436139e-01
5.063247250105728625e+00,2.008803001273093832e+04,1.430517314815567147e+02,9.146744810839043671e-01
5.174855011241634273e+00,1.772308941745047559e+04,1.318357822328983957e+02,9.204400090671419621e-01
5.288922911440569585e+00,1.650461669844905555e+04,1.282441064829293396e+02,9.261279725744442359e-01
5.405505178868641458e+00,1.495379432201409145e+04,1.213728298359925049e+02,9.313754543918763007e-01
5.524657237028446133e+00,1.313520937690606479e+04,1.113640909079387029e+02,9.357939818652591946e-01
5.646435731107545486e+00,1.228703703430284077e+04,1.088161722745397526e+02,9.407542772081535221e-01
5.770898554907732070e+00,1.074397786918886595e+04,9.939155479429750528e+01,9.449929242169650134e-01
5.898104878367885995e+00,9.647286359531986818e+03,9.322398222410079427e+01,9.488820958555590490e-01
6.028115175693510963e+00,8.809650686777713418e+03,8.892405748614268646e+01,9.528312432273500221e-01
6.160991254106327197e+00,7.537130478313741150e+03,7.947027528052815626e+01,9.561444752040046957e-01
6.296796283227577007e+00,7.040470214053203563e+03,7.754225932892377671e+01,9.592409188859468694e-01
6.435594825109022921e+00,5.930167711380981928e+03,6.822473581871648207e+01,9.626429334800746807e-01
6.577452864925905196e+00,5.438016954119218099e+03,6.535119682975033584e+01,9.653443287254039884e-01
6.722437842346471015e+00,4.709748214907545844e+03,5.912195411116231014e+01,9.679311032463513431e-01
6.870618683592947029e+00,4.160330064125063473e+03,5.455279149055848364e+01,9.701425870486275471e-01
7.022065834209247015e+00,3.686618921289254104e+03,5.049583296347102390e+01,9.726271350499805513e-01
7.176851292550957773e+00,3.155013775933357010e+03,4.514053003598196057e+01,9.744357742858733573e-01
7.335048644013541619e+00,2.837630542204079575e+03,4.240912829449846555e+01,9.761987562225622472e-01
7.496733096015014475e+00,2.402266954805088062e+03,3.750272839279272574e+01,9.779033890489302605e-01
7.661981513749740458e+00,2.158175626337207632e+03,3.519382598339756640e+01,9.794334036316506564e-01
7.830872456730343600e+00,1.850366310208317827e+03,3.151922373141807654e+01,9.808403301311553468e-01
8.003486216135090814e+00,1.610824313417572967e+03,2.866184070655571503e+01,9.821482044206196749e-01
8.179904852978523877e+00,1.448047811116606454e+03,2.691391675855887655e+01,9.832344309961739137e-01
8.360212237123469947e+00,1.180514335300438461e+03,2.291940664453144194e+01,9.843010922991937139e-01
8.544494087152985529e+00,1.134363584296700537e+03,2.300501297753376662e+01,9.852688374599376520e-01
8.732838011121188515e+00,8.822730977425003402e+02,1.869008794058651191e+01,9.860719901075266636e-01
8.925333548202338818e+00,8.428189250002525341e+02,1.865007953656997941e+01,9.869103767112920034e-01
9.122072211257998831e+00,7.209342954727186452e+02,1.666403605855568415e+01,9.875978319854369358e-01
9.323147530342465572e+00,5.851282970763174944e+02,1.412777317940236799e+01,9.882615818067661539e-01
9.528655097167201049e+00,5.810135188429890150e+02,1.465368837004982083e+01,9.888705313120303986e-01
9.738692610545371053e+00,4.718684405395858903e+02,1.243139159890217194e+01,9.894110917295079188e-01
9.953359922838100005e+00,3.966873476109880698e+02,1.091654641771700618e+01,9.899347139467320478e-01
