theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
6.577452864925905196e+00,1.002888976360913261e+03,1.205218656828631119e+01,9.865313602743247534e-01
6.722437842346471015e+00,1.007806918758372717e+03,1.265110398367952804e+01,9.871034925895288969e-01
6.870618683592947029e+00,7.597739812925547085e+02,9.962620980198810372e+00,9.875212642551327580e-01
7.022065834209247015e+00,8.586834109253820770e+02,1.176143643060025390e+01,9.880214280060695131e-01
7.176851292550957773e+00,6.007621737455124276e+02,8.595437254602321886e+00,9.884123968148897932e-01
7.335048644013541619e+00,7.115967878395999833e+02,1.063499952534420423e+01,9.888353313110677112e-01
7.496733096015014475e+00,4.948929286461524839e+02,7.725966945266618424e+00,9.891934671002042823e-01
7.661981513749740458e+00,5.775719979195779388e+02,9.418588616980732908e+00,9.895823224453256239e-01
7.830872456730343600e+00,4.253473501111267296e+02,7.245386071803844530e+00,9.898945903610705255e-01
8.003486216135090814e+00,4.486049951455557903e+02,7.982152245856987349e+00,9.902514128798872717e-01
8.179904852978523877e+00,3.924252012724626297e+02,7.293750330566449946e+00,9.905300950608467714e-01
8.360212237123469947e+00,3.254662869515894954e+02,6.318850992885919560e+00,9.908506148878218900e-01
8.544494087152985529e+00,3.709902972056768249e+02,7.523722305531461707e+00,9.911126992715512118e-01
8.732838011121188515e+00,2.435665706296759083e+02,5.159718273291774793e+00,9.913831838125974905e-01
8.925333548202338818e+00,3.069755826064508142e+02,6.792822113472950285e+00,9.916505363786021210e-01
9.122072211257998831e+00,2.435966926433495132e+02,5.630615848691157055e+00,9.918733136752857504e-01
9.323147530342465572e+00,1.988081904444866552e+02,4.800172944705150435e+00,9.921258789633837782e-01
9.528655097167201049e+00,2.455241948351750239e+02,6.192343072475592791e+00,9.923447514251022561e-01
9.738692610545371053e+00,1.774739415913977041e+02,4.675557585500931701e+00,9.925468278908110564e-01
9.953359922838100005e+00,1.546835036001524202e+02,4.256777175464886653e+00,9.927704082994673884e-01
