variant,k,Ldmax,peak_display_cdm2,background_cdm2,core_fwhm_equiv_diam_arcmin,white_core_px,white_core_arcmin2,displayed_energy_above_bg_cdm2_sr,halo_radius_2x_bg_arcmin,Vangorp_Lla_at_source,Vangorp_Lla_at_bar,Vangorp_Lla_far_sky
V4_spencer,1,100,101.3084375,1.29754638671875,20.571501938210357,316,213.47344717583033,0.006221956776999046,44.228433387537024,0.1431151181459427,0.021772705018520355,0.00036545947659760714
V4_spencer,1,200,202.7221875,2.45166015625,18.36227482395635,256,172.94051416776128,0.01015497707919504,37.84177081545367,0.1431151181459427,0.021772705018520355,0.00036545947659760714
V4_spencer,1,50,50.659375,0.70599365234375,23.315352654214777,392,264.81516231938446,0.003973264351419181,44.228433387537024,0.1431151181459427,0.021772705018520355,0.00036545947659760714
V5_temporal,100,100,101.32796875,1.2899169921875,59.70261075480356,4111,2777.181459936198,0.023660824381898468,32.377353407521774,41.578758239746094,1.1659049987792969,0.00039999998989515007
V5_temporal,100,200,202.63,2.4394531249999996,59.59446029327802,4083,2758.266091199099,0.04715429093446088,32.377353407521774,41.578758239746094,1.1659049987792969,0.00039999998989515007
V5_temporal,100,50,50.682578125,0.7014160156249999,59.82494492548861,4128,2788.6657909551504,0.011864023008036278,32.377353407521774,41.578758239746094,1.1659049987792969,0.00039999998989515007
V5_temporal,10,100,101.35765624999999,1.29449462890625,57.90344018227837,3809,2573.1656971289167,0.02237522766380212,32.377353407521774,4.250487804412842,0.21072617173194885,0.00039999998989515007
V5_temporal,10,200,202.72156250000003,2.445556640625,57.560769187984064,3732,2521.148433101895,0.04426812509520364,32.377353407521774,4.250487804412842,0.21072617173194885,0.00039999998989515007
V5_temporal,10,50,50.678828124999995,0.7044677734374999,58.22193928163596,3851,2601.538750234565,0.011295140742850082,32.377353407521774,4.250487804412842,0.21072617173194885,0.00039999998989515007
V5_temporal,1,100,101.33,1.29754638671875,52.496421890226465,2538,1714.5430662413207,0.018169264722425277,32.377353407521774,0.4353482127189636,0.038540370762348175,0.00039999998989515007
V5_temporal,1,200,202.65375,2.45166015625,50.806168858235786,1587,1072.0960780634264,0.03244092162176568,32.377353407521774,0.4353482127189636,0.038540370762348175,0.00039999998989515007
V5_temporal,1,50,50.6634375,0.70751953125,53.91101958804348,2999,2025.9711015199846,0.009704924011455014,32.377353407521774,0.4353482127189636,0.038540370762348175,0.00039999998989515007
