spectrum,pupil_mm,arcmin_per_px,photopic_ee50_arcmin,photopic_ee80_arcmin,photopic_ee90_arcmin,photopic_ee95_arcmin,photopic_frac_in_px_32,photopic_frac_in_px_48p4,photopic_frac_in_px_73,scotopic_ee50_arcmin,scotopic_ee80_arcmin,scotopic_ee90_arcmin,scotopic_ee95_arcmin,scotopic_frac_in_px_32,scotopic_frac_in_px_48p4,scotopic_frac_in_px_73
LPS,6.0,0.507267794654,0.5109984254778154,1.0154994445083345,1.1628137568143244,1.8530774576485913,0.7287701545561313,0.7287701545561313,0.3177992832537829,0.5109984297381462,1.015499445172486,1.1628137593690488,1.853077464726947,0.7287701451864198,0.7287701451864198,0.3177992701643234
HPS,6.0,0.507267794654,0.512680066186526,1.1058542753196872,1.564287541560637,2.1646084904534018,0.6770532131113453,0.6770532131113453,0.2728877509472497,0.8288428051597665,2.246127244324894,3.241166988065994,4.317840105867933,0.4936611558737657,0.4936611558737657,0.20184305041348555
LED_warm,6.0,0.507267794654,0.5361305932566256,1.4683448885903223,2.0389621360905683,2.726225057262517,0.5838461089247049,0.5838461089247049,0.2089536267114568,1.1274815757123193,2.5681286554778144,3.613855229437255,4.623226066284449,0.3863839233720661,0.3863839233720661,0.13004917377674055
E,6.0,0.507267794654,0.698820918946072,1.5970384625827747,2.3845258483063554,3.225621199268722,0.5337573078868731,0.5337573078868731,0.18824849267423086,1.5814332022373483,3.0736435642760895,4.072912893564607,5.055709130772382,0.285385889919866,0.285385889919866,0.08377971619919805
BLUE,6.0,0.507267794654,2.9580618267694287,4.339653577799827,5.19224066703034,6.099599899876392,0.053498543541921316,0.053498543541921316,0.005783723317930538,3.021211943710473,4.3661775583947495,5.252880490002035,6.136153436511637,0.05118774564410412,0.05118774564410412,0.0054440108177269625
LPS,7.0,0.507267794654,0.6549413767585007,1.1732477759669253,1.6387665731730165,2.4716720291034937,0.6129877503525433,0.44584595505166585,0.10903862914758093,0.6549413781111212,1.173247773518139,1.6387665684014008,2.47167195177488,0.6129877503662557,0.4458459570784996,0.10903863010744155
HPS,7.0,0.507267794654,0.7629843170887183,1.3618849831241158,1.8836858723366743,2.719470791897294,0.5983365745085683,0.42278012992869857,0.15264715248892158,0.965435158692364,2.1598928019394115,3.2552971819866063,4.4196040455968575,0.5184769249939983,0.36297925718832014,0.16871942825805641
LED_warm,7.0,0.507267794654,0.8520067838680553,1.5494190737354647,2.1695969755799887,3.097558039517367,0.5633540822876678,0.37480450246038144,0.19386546810804306,1.0323123023293403,2.44237056858712,3.5368519037248722,4.672343086090064,0.48472320700757965,0.308257336894778,0.21184663127212958
E,7.0,0.507267794654,0.8545722476911369,1.7140908499381624,2.444296083110759,3.5205919008807833,0.5530930578736187,0.3635596330289149,0.21012691449321486,1.3741634527785493,2.939217713466693,3.9806724346111633,5.1053173152835205,0.38879998003207883,0.23542012695321274,0.16056248978747736
BLUE,7.0,0.507267794654,2.702012125003259,4.189077293863616,5.091875671495507,6.013161136303359,0.08157265725755859,0.041294042710068424,0.016568129463212955,2.7834880238205475,4.2256867292338,5.1229147736964595,6.041778256654026,0.07844698025582046,0.03949434801955685,0.015579925460274199
