# DIGITIZED_EXTERNAL_VALIDATION; Ginis et al. 2012 J Vis 12(3):20; y = Log(PSF) as printed (log10 of PSF in sr^-1, see README)
curve,theta_deg,log10_psf
GP,1.6599,0.9480
GP,1.6636,0.9454
GP,1.6673,0.9454
GP,1.6710,0.9454
GP,1.6747,0.9400
GP,1.6784,0.9347
GP,1.6821,0.9347
GP,1.6858,0.9347
GP,1.6895,0.9347
GP,1.6932,0.9294
GP,1.6969,0.9294
GP,1.7005,0.9294
GP,1.7042,0.9240
GP,1.7079,0.9214
GP,1.7116,0.9187
GP,1.7153,0.9187
GP,1.7190,0.9134
GP,1.7227,0.9134
GP,1.7264,0.9107
GP,1.7301,0.9107
GP,1.7338,0.9081
GP,1.7375,0.9081
GP,1.7412,0.9027
GP,1.7449,0.9027
GP,1.7486,0.9027
GP,1.7523,0.9027
GP,1.7560,0.9001
GP,1.7597,0.8974
GP,1.7634,0.8974
GP,1.7671,0.8921
GP,1.7708,0.8921
GP,1.7745,0.8867
GP,1.7782,0.8867
GP,1.7819,0.8867
GP,1.7856,0.8867
GP,1.7893,0.8814
GP,1.7930,0.8814
GP,1.7967,0.8734
GP,1.8004,0.8708
GP,1.8041,0.8708
GP,1.8078,0.8708
GP,1.8115,0.8708
GP,1.8152,0.8681
GP,1.8189,0.8681
GP,1.8226,0.8681
GP,1.8263,0.8654
GP,1.8299,0.8628
GP,1.8336,0.8601
GP,1.8373,0.8601
GP,1.8410,0.8548
GP,1.8447,0.8548
GP,1.8484,0.8548
GP,1.8521,0.8521
GP,1.8558,0.8494
GP,1.8595,0.8468
GP,1.8632,0.8468
GP,1.8669,0.8441
GP,1.8706,0.8441
GP,1.8743,0.8414
GP,1.8780,0.8414
GP,1.8817,0.8388
GP,1.8854,0.8335
GP,1.8891,0.8335
GP,1.8928,0.8308
GP,1.8965,0.8281
GP,1.9002,0.8281
GP,1.9039,0.8281
GP,1.9076,0.8281
GP,1.9113,0.8228
GP,1.9150,0.8175
GP,1.9187,0.8175
GP,1.9224,0.8175
GP,1.9261,0.8175
GP,1.9298,0.8148
GP,1.9335,0.8121
GP,1.9372,0.8121
GP,1.9409,0.8095
GP,1.9446,0.8068
GP,1.9483,0.8068
GP,1.9520,0.8068
GP,1.9557,0.8015
GP,1.9594,0.8015
GP,1.9630,0.7988
GP,1.9667,0.7988
GP,1.9704,0.7962
GP,1.9741,0.7882
GP,1.9778,0.7882
GP,1.9815,0.7855
GP,1.9852,0.7855
GP,1.9889,0.7855
GP,1.9926,0.7855
GP,1.9963,0.7828
GP,2.0000,0.7828
GP,2.0037,0.7802
GP,2.0074,0.7802
GP,2.0111,0.7802
GP,2.0148,0.7748
GP,2.0185,0.7748
GP,2.0222,0.7722
GP,2.0259,0.7722
GP,2.0296,0.7695
GP,2.0333,0.7642
GP,2.0370,0.7642
GP,2.0407,0.7615
GP,2.0444,0.7589
GP,2.0481,0.7589
GP,2.0518,0.7589
GP,2.0555,0.7562
GP,2.0592,0.7562
GP,2.0629,0.7535
GP,2.0666,0.7509
GP,2.0703,0.7482
GP,2.0740,0.7482
GP,2.0777,0.7455
GP,2.0814,0.7455
GP,2.0851,0.7429
GP,2.0888,0.7429
GP,2.0925,0.7375
GP,2.0961,0.7375
GP,2.0998,0.7375
GP,2.1035,0.7375
GP,2.1072,0.7322
GP,2.1109,0.7322
GP,2.1146,0.7322
GP,2.1183,0.7269
GP,2.1220,0.7269
GP,2.1257,0.7242
GP,2.1294,0.7216
GP,2.1331,0.7216
GP,2.1368,0.7216
GP,2.1405,0.7189
GP,2.1442,0.7189
GP,2.1479,0.7162
GP,2.1516,0.7109
GP,2.1553,0.7109
GP,2.1590,0.7109
GP,2.1627,0.7109
GP,2.1664,0.7056
GP,2.1701,0.7056
GP,2.1738,0.7029
GP,2.1775,0.7002
GP,2.1812,0.7002
GP,2.1849,0.7002
GP,2.1886,0.7002
GP,2.1923,0.6976
GP,2.1960,0.6976
GP,2.1997,0.6949
GP,2.2034,0.6949
GP,2.2071,0.6949
GP,2.2108,0.6896
GP,2.2145,0.6843
GP,2.2182,0.6843
GP,2.2219,0.6843
GP,2.2255,0.6843
GP,2.2292,0.6789
GP,2.2329,0.6789
GP,2.2366,0.6789
GP,2.2403,0.6789
GP,2.2440,0.6789
GP,2.2477,0.6763
GP,2.2514,0.6736
GP,2.2551,0.6736
GP,2.2588,0.6736
GP,2.2625,0.6709
GP,2.2662,0.6683
GP,2.2699,0.6629
GP,2.2736,0.6629
GP,2.2773,0.6629
GP,2.2810,0.6603
GP,2.2847,0.6576
GP,2.2884,0.6576
GP,2.2921,0.6576
GP,2.2958,0.6549
GP,2.2995,0.6549
GP,2.3032,0.6523
GP,2.3069,0.6523
GP,2.3106,0.6523
GP,2.3143,0.6523
GP,2.3180,0.6470
GP,2.3217,0.6470
GP,2.3254,0.6470
GP,2.3291,0.6416
GP,2.3328,0.6390
GP,2.3365,0.6363
GP,2.3402,0.6363
GP,2.3439,0.6363
GP,2.3476,0.6363
GP,2.3513,0.6310
GP,2.3550,0.6310
GP,2.3586,0.6310
GP,2.3623,0.6310
GP,2.3660,0.6310
GP,2.3697,0.6310
GP,2.3734,0.6256
GP,2.3771,0.6256
GP,2.3808,0.6230
GP,2.3845,0.6230
GP,2.3882,0.6150
GP,2.3919,0.6150
GP,2.3956,0.6150
GP,2.3993,0.6150
GP,2.4030,0.6150
GP,2.4067,0.6123
GP,2.4104,0.6123
GP,2.4141,0.6096
GP,2.4178,0.6096
GP,2.4215,0.6096
GP,2.4252,0.6096
GP,2.4289,0.6043
GP,2.4326,0.6043
GP,2.4363,0.6043
GP,2.4400,0.6017
GP,2.4437,0.6017
GP,2.4474,0.5963
GP,2.4511,0.5937
GP,2.4548,0.5937
